iter	Passed	Remaining
709	13634	5568
710	13656	5550
711	13671	5530
712	13690	5510
713	13711	5492
714	13737	5475
715	13761	5458
716	13783	5440
717	13809	5423
718	13828	5404
719	13848	5385
720	13866	5365
721	13883	5345
722	13901	5326
723	13919	5306
724	13936	5286
725	13959	5268
726	13978	5249
727	13996	5229
728	14014	5209
729	14030	5189
730	14053	5171
731	14070	5151
732	14086	5131
733	14110	5113
734	14146	5100
735	14179	5086
736	14216	5073
737	14237	5054
738	14257	5035
739	14280	5017
740	14297	4997
741	14313	4977
742	14324	4954
743	14340	4934
744	14357	4914
745	14371	4893
746	14382	4871
747	14400	4851
748	14416	4831
749	14429	4809
750	14443	4788
751	14460	4768
752	14475	4748
753	14489	4727
754	14504	4706
755	14519	4686
756	14535	4665
757	14551	4645
758	14566	4625
759	14580	4604
760	14599	4585
761	14620	4566
762	14638	4546
763	14656	4527
764	14673	4507
765	14698	4490
766	14716	4470
767	14740	4452
768	14759	4433
769	14781	4415
770	14805	4397
771	14827	4378
772	14859	4363
773	14891	4348
774	14912	4329
775	14932	4310
776	14956	4292
777	14987	4276
778	15017	4260
779	15038	4241
780	15058	4222
781	15081	4204
782	15098	4184
783	15114	4164
784	15129	4143
785	15147	4124
786	15161	4103
787	15176	4082
788	15197	4064
789	15214	4044
790	15232	4024
791	15250	4005
792	15266	3985
793	15284	3965
794	15299	3945
795	15315	3925
796	15332	3905
797	15350	3885
798	15364	3865
799	15380	3845
800	15396	3825
801	15412	3805
802	15429	3785
803	15445	3765
804	15462	3745
805	15475	3724
806	15495	3705
807	15507	3684
808	15522	3664
809	15535	3644
810	15551	3624
811	15568	3604
812	15585	3584
813	15601	3564
814	15613	3544
815	15630	3524
816	15649	3505
817	15664	3485
818	15680	3465
819	15700	3446
820	15712	3425
821	15728	3405
822	15744	3386
823	15758	3365
824	15773	3345
825	15790	3326
826	15806	3306
827	15820	3286
828	15836	3266
829	15850	3246
830	15866	3226
831	15880	3206
832	15897	3187
833	15909	3166
834	15924	3146
835	15944	3127
836	15957	3107
837	15969	3087
838	15985	3067
839	16002	3048
840	16018	3028
841	16033	3008
842	16047	2988
843	16064	2969
844	16107	2954
845	16139	2937
846	16163	2919
847	16198	2903
848	16223	2885
849	16245	2866
850	16264	2847
851	16283	2828
852	16303	2809
853	16320	2790
854	16337	2770
855	16351	2750
856	16366	2730
857	16383	2711
858	16400	2692
859	16417	2672
860	16433	2652
861	16446	2632
862	16464	2613
863	16481	2594
864	16498	2574
865	16515	2555
866	16531	2535
867	16545	2516
868	16562	2496
869	16578	2477
870	16594	2457
871	16608	2437
872	16623	2418
873	16638	2398
874	16654	2379
875	16669	2359
876	16684	2340
877	16702	2320
878	16717	2301
879	16734	2281
880	16749	2262
881	16762	2242
882	16778	2223
883	16793	2203
884	16809	2184
885	16821	2164
886	16838	2145
887	16854	2125
888	16871	2106
889	16903	2089
890	16920	2070
891	16950	2052
892	16981	2034
893	17004	2016
894	17020	1996
895	17036	1977
896	17051	1957
897	17061	1937
898	17076	1918
899	17091	1899
900	17109	1880
901	17125	1860
902	17138	1841
903	17154	1821
904	17170	1802
905	17186	1783
906	17200	1763
907	17217	1744
908	17234	1725
909	17249	1705
910	17259	1686
911	17272	1666
912	17289	1647
913	17307	1628
914	17324	1609
915	17342	1590
916	17357	1571
917	17373	1551
918	17387	1532
919	17395	1512
920	17410	1493
921	17423	1473
922	17435	1454
923	17453	1435
924	17468	1416
925	17483	1397
926	17495	1377
927	17511	1358
928	17526	1339
929	17540	1320
930	17554	1301
931	17571	1282
932	17586	1262
933	17600	1243
934	17615	1224
935	17631	1205
936	17647	1186
937	17664	1167
938	17675	1148
939	17690	1129
940	17706	1110
941	17722	1091
942	17732	1071
943	17746	1052
944	17762	1033
945	17774	1014
946	17791	995
947	17807	976
948	17823	957
949	17831	938
950	17846	919
951	17862	900
952	17872	881
953	17886	862
954	17903	843
955	17919	824
956	17935	805
957	17951	787
958	17969	768
959	17984	749
960	18000	730
